ID_FASHI,Name,ra,dec,ra-dec_err,cz,cz_err,cz_min,cz_max,v_radio,v_radio_err,freq,freq_err,z,z_err,ell_maj,ell_min,ell_pa,W_50,W_50_err,W_20,W_20_err,F_peak,F_peak_err,S_bf,S_bf_err,S_sum,S_sum_err,rms,SNR,distance,distance_err,log10Mass,log10Mass_err ,ell_ratio
20230004171.0,J104457.74-012118.6,161.2406,-1.3552,0.001,1914.82,1.05,1814.35,2010.6,1902.67,1.05,1411.391,0.005,0.00639,4e-06,4.9,4.9,0,4.86,2.11,93.3,3.16,34.39,2.92,781.33,98.18,671.97,98.18,2.92,47.93,30.39,1.52,8.23,0.07,1.0
20230004180.0,J094351.50-011929.9,145.9646,-1.325,0.0034,1893.36,1.98,1814.4,1938.9,1881.48,1.98,1411.4914,0.0094,0.00632,7e-06,4.9,4.5,10,22.01,3.96,50.1,5.95,14.92,2.54,432.45,65.85,358.04,65.85,2.54,14.35,30.77,1.54,7.98,0.08,0.9183673469387754
20230004300.0,J121353.27-010523.1,183.472,-1.0897,0.0033,2020.96,1.15,1983.35,2075.05,2007.43,1.15,1410.8946,0.0054,0.00674,4e-06,4.1,4.1,0,21.59,2.29,31.2,3.44,17.14,2.24,381.84,48.15,346.84,48.15,2.24,14.51,29.17,1.46,7.88,0.07,1.0
20230004437.0,J110157.30-005447.4,165.4888,-0.9132,0.0037,10073.96,2.5,9983.78,10190.68,9746.45,2.5,1374.2274,0.0119,0.0336,9e-06,2.7,2.7,0,9.67,5.0,46.3,7.51,6.16,1.26,128.37,42.19,150.12,42.19,1.26,12.98,141.48,7.07,8.77,0.15,1.0
20230004467.0,J115933.52-005224.8,179.8896,-0.8736,0.0047,2236.29,1.37,2141.16,2324.65,2219.73,1.37,1409.8888,0.0065,0.00746,5e-06,3.6,3.6,0,11.74,2.74,18.66,4.11,12.9,1.88,167.54,60.67,184.08,60.67,1.88,10.29,34.14,1.71,7.66,0.16,1.0
20230004560.0,J051952.52-004601.0,79.9688,-0.7669,0.0018,6551.51,1.74,6307.14,6751.97,6411.4,1.74,1390.0288,0.0083,0.02185,6e-06,3.3,3.3,0,6.88,3.49,80.15,5.23,12.14,1.55,271.49,79.56,437.63,79.56,1.55,26.36,84.87,4.24,8.65,0.13,1.0
20230004629.0,J112719.42-004348.5,171.8309,-0.7301,0.002,1030.59,1.66,946.9,1116.13,1027.06,1.66,1415.5396,0.0079,0.00344,6e-06,3.0,3.0,0,6.55,3.32,63.87,4.98,9.84,1.55,244.79,47.98,263.8,47.98,1.55,24.46,14.87,0.74,7.1,0.1,1.0
20230004813.0,J081950.41-002643.6,124.9601,-0.4454,0.0033,1807.28,1.62,1683.76,1919.11,1796.45,1.62,1411.8942,0.0077,0.00603,5e-06,3.7,3.7,0,22.65,3.24,42.03,4.86,14.69,2.2,385.34,81.54,227.69,81.54,2.2,14.57,28.78,1.44,7.87,0.1,1.0
20230058023.0,J105050.85+300333.4,162.7119,30.0593,0.0009,5971.99,1.34,5771.19,6180.89,5855.35,1.34,1392.6633,0.0063,0.01992,5e-06,4.1,4.1,0,10.81,2.68,199.71,4.02,7.03,1.25,573.46,61.59,580.71,61.59,1.25,55.05,81.1,4.06,8.94,0.06,1.0
20230058029.0,J113651.79+300522.8,174.2158,30.0897,0.0077,13805.89,1.89,13757.66,13863.7,13198.1,1.89,1357.8736,0.009,0.04605,7e-06,3.1,3.1,0,23.48,3.78,28.39,5.67,4.81,1.2,92.26,26.85,83.54,26.85,1.2,6.29,191.77,9.59,8.88,0.13,1.0
20230060788.0,J005747.86+302115.6,14.4494,30.3543,0.0086,5245.39,2.09,5203.56,5290.46,5155.19,2.09,1395.9806,0.0099,0.0175,7e-06,3.2,3.2,0,14.46,4.18,19.25,6.27,7.02,1.89,102.16,38.8,77.86,38.8,1.89,5.61,62.42,3.12,7.96,0.17,1.0
20230006431.0,J111432.06+302952.4,168.6336,30.4979,0.003,8165.69,2.59,7954.43,8281.35,7949.17,2.59,1382.7429,0.0123,0.02724,9e-06,3.1,3.1,0,6.89,5.18,68.61,7.77,4.46,0.98,105.54,42.29,77.83,42.29,0.98,16.28,118.82,5.94,8.53,0.18,1.0
20230006836.0,J042452.84+305610.1,66.2202,30.9361,0.0028,6787.21,1.64,6636.71,6852.69,6636.95,1.64,1388.9601,0.0078,0.02264,6e-06,3.5,3.5,0,19.08,3.29,47.75,4.93,5.38,0.83,159.55,28.75,110.48,28.75,0.83,17.47,91.94,4.6,8.49,0.09,1.0
